,answers
0,1
1,1
2,4
3,6
4,2
5,1
6,1
7,1
8,6
9,6
10,1
11,2
12,1
13,1
14,1
15,1
16,4
17,2
18,2
19,8
20,7
21,1
22,1
23,3
24,1
25,3
26,1
27,3
28,1
29,1
30,6
31,3
32,1
33,1
34,1
35,8
36,6
37,1
38,5
39,2
40,7
41,1
42,2
43,7
44,6
45,1
46,6
47,5
48,5
49,1
50,7
51,2
52,4
53,5
54,8
55,3
56,1
57,1
58,7
59,1
60,8
61,3
62,2
63,4
64,1
65,6
66,6
67,3
68,7
69,3
70,7
71,3
72,8
73,5
74,8
75,1
76,6
77,1
78,1
79,6
80,1
81,1
82,8
83,6
84,2
85,2
86,7
87,1
88,1
89,2
90,7
91,2
92,1
93,6
94,1
95,4
96,8
97,1
98,4
99,4
100,1
101,8
102,1
103,6
104,6
105,8
106,1
107,3
108,7
109,1
110,5
111,8
112,3
113,1
114,4
115,1
116,6
117,1
118,1
119,4
120,1
121,3
122,3
123,8
124,8
125,3
126,1
127,1
128,7
129,3
130,3
131,4
132,1
133,2
134,2
135,1
136,7
137,4
138,8
139,3
140,5
141,1
142,1
143,1
144,5
145,8
146,1
147,4
148,6
149,2
150,1
151,4
152,4
153,1
154,4
155,1
156,8
157,1
158,1
159,1
160,1
161,1
162,1
163,5
164,3
165,1
166,1
167,6
168,7
169,1
170,8
171,6
172,8
173,7
174,3
175,1
176,6
177,8
178,5
179,4
180,2
181,2
182,5
183,1
184,1
185,4
186,4
187,1
188,7
189,3
190,3
191,8
192,6
193,3
194,1
195,1
196,1
197,6
198,2
199,6
200,1
201,1
202,1
203,4
204,1
205,1
206,7
207,7
208,6
209,1
210,8
211,8
212,1
213,8
214,6
215,6
216,1
217,2
218,7
219,1
220,3
221,7
222,3
223,1
224,7
225,1
226,8
227,5
228,5
229,5
230,1
231,5
232,7
233,1
234,7
235,4
236,2
237,4
238,8
239,3
240,3
241,4
242,1
243,4
244,3
245,5
246,3
247,2
248,5
249,4
250,2
251,8
252,2
253,7
254,1
255,6
256,7
257,1
258,1
259,7
260,2
261,1
262,1
263,1
264,8
265,1
266,8
267,1
268,4
269,3
270,7
271,7
272,1
273,5
274,8
275,8
276,8
277,1
278,1
279,4
280,1
281,6
282,2
283,2
284,8
285,1
286,8
287,6
288,1
289,4
290,4
291,3
292,1
293,5
294,5
295,6
296,1
297,1
298,7
299,3
300,1
301,6
302,1
303,1
304,1
305,7
306,8
307,6
308,1
309,3
310,1
311,1
312,8
313,3
314,5
315,8
316,4
317,1
318,7
319,1
320,1
321,1
322,3
323,1
324,1
325,1
326,5
327,1
328,4
329,3
330,1
331,1
332,1
333,1
334,8
335,3
336,7
337,6
338,3
339,7
340,7
341,2
342,7
343,4
344,8
345,1
346,2
347,1
348,3
349,1
350,6
351,7
352,3
353,7
354,2
355,7
356,1
357,6
358,1
359,6
360,1
361,1
362,5
363,8
364,1
365,7
366,2
367,3
368,1
369,8
370,1
371,1
372,3
373,5
374,7
375,8
376,7
377,5
378,7
379,1
380,3
381,8
382,1
383,3
384,8
385,1
386,6
387,4
388,8
389,7
390,1
391,8
392,2
393,1
394,8
395,7
396,8
397,8
398,5
399,5
400,3
401,7
402,2
403,5
404,6
405,8
406,6
407,1
408,7
409,2
410,6
411,1
412,3
413,7
414,4
415,8
416,8
417,4
418,4
419,1
420,1
421,5
422,1
423,3
424,2
425,3
426,4
427,5
428,4
429,1
430,7
431,4
432,7
433,5
434,1
435,1
436,4
437,6
438,6
439,6
440,6
441,5
442,1
443,5
444,1
445,3
446,1
447,6
448,1
449,3
450,7
451,1
452,2
453,1
454,1
455,7
456,1
457,7
458,4
459,3
460,1
461,5
462,5
463,1
464,7
465,1
466,1
467,1
468,7
469,1
470,1
471,6
472,1
473,1
474,8
475,1
476,6
477,4
478,6
479,6
480,1
481,7
482,1
483,1
484,7
485,5
486,3
487,4
488,8
489,1
490,1
491,6
492,7
493,2
494,5
495,1
496,4
497,4
498,7
499,7
500,1
501,5
502,7
503,8
504,1
505,1
506,8
507,5
508,3
509,4
510,6
511,4
512,7
513,1
514,3
515,8
516,3
517,7
518,1
519,6
520,4
521,5
522,3
523,7
524,1
525,4
526,1
527,1
528,4
529,1
530,1
531,7
532,7
533,7
534,7
535,7
536,6
537,5
538,2
539,1
540,6
541,6
542,2
543,5
544,2
545,3
546,6
547,7
548,5
549,3
550,8
551,1
552,1
553,1
554,6
555,1
556,1
557,1
558,1
559,5
560,7
561,4
562,3
563,3
564,7
565,6
566,1
567,1
568,6
569,1
570,1
571,6
572,8
573,4
574,3
575,1
576,8
577,6
578,1
579,1
580,5
581,7
582,3
583,7
584,2
585,8
586,7
587,8
588,1
589,6
590,6
591,3
592,1
593,3
594,1
595,8
596,8
597,1
598,1
599,7
600,2
601,6
602,1
603,1
604,7
605,5
606,1
607,1
608,1
609,8
610,6
611,3
612,8
613,6
614,1
615,1
616,8
617,5
618,7
619,8
620,5
621,5
622,6
623,5
624,7
625,4
626,6
627,6
628,4
629,2
630,8
631,5
632,1
633,5
634,5
635,4
636,3
637,8
638,3
639,8
640,3
641,5
642,6
643,1
644,3
645,1
646,1
647,5
648,8
649,6
650,1
651,2
652,5
653,2
654,8
655,1
656,1
657,6
658,3
659,7
660,4
661,4
662,1
663,4
664,5
665,2
666,5
667,1
668,5
669,3
670,5
671,1
672,7
673,8
674,4
675,2
676,1
677,1
678,7
679,5
680,2
681,6
682,2
683,1
684,1
685,1
686,1
687,1
688,2
689,4
690,3
691,7
692,2
693,4
694,2
695,1
696,5
697,7
698,8
699,5
700,2
701,2
702,1
703,5
704,1
705,8
706,2
707,2
708,4
709,3
710,1
711,1
712,4
713,3
714,7
715,6
716,1
717,1
718,6
719,1
720,7
721,8
722,3
723,8
724,1
725,1
726,1
727,4
728,2
729,3
730,8
731,8
732,5
733,1
734,7
735,3
736,1
737,2
738,8
739,3
740,1
741,1
742,1
743,4
744,8
745,3
746,1
747,1
748,4
749,7
750,8
751,7
752,8
753,8
754,7
755,4
756,1
757,4
758,7
759,1
760,1
761,6
762,1
763,1
764,1
765,5
766,2
767,1
768,1
769,7
770,8
771,1
772,4
773,4
774,6
775,5
776,1
777,2
778,8
779,4
780,1
781,1
782,1
783,1
784,1
785,7
786,1
787,1
788,3
789,8
790,1
791,8
792,6
793,3
794,6
795,6
796,6
797,8
798,5
799,5
800,7
801,2
802,1
803,7
804,1
805,5
806,3
807,8
808,7
809,1
810,7
811,8
812,7
